,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
275,san patricio,ML,1584056514,0,8,13.3,-4.9,79.92,9.53
276,vila velha,PT,1584056514,93,81,42.03,-8.16,54.0,13.87
277,khasan,RU,1584056514,0,35,42.43,130.64,23.11,18.81
278,nuevo progreso,US,1584056515,90,87,33.8,-117.15,60.8,23.04
279,clyde river,US,1584056515,75,76,41.3,-82.98,59.0,10.29
280,severo-kurilsk,RU,1584056515,78,75,50.68,156.12,22.46,9.19
281,izumo,JP,1584056515,75,61,35.37,132.77,50.0,8.05
282,port moresby,CD,1584056516,100,73,-7.03,29.76,76.21,5.66
283,amalapuram,IN,1584056516,0,94,16.58,82.02,72.09,1.39
284,pajapan,MX,1584056516,5,69,18.25,-94.7,80.6,11.41
285,codrington,AU,1584056516,100,87,-38.27,141.97,63.77,17.09
286,neiafu,TO,1584056516,75,74,-18.65,-173.98,86.0,4.7
287,granada,ES,1584056517,100,67,37.25,-3.25,59.0,1.12
288,nome,US,1584056420,75,79,64.5,-165.41,25.0,13.87
289,porto novo,PT,1584056358,92,100,41.15,-8.61,55.0,2.24
290,mbandaka,CD,1584056518,100,99,0.05,18.26,68.0,1.79
291,omboue,GA,1584056518,100,89,-1.57,9.26,76.78,1.7
292,quelimane,MZ,1584056518,42,88,-17.88,36.89,77.32,5.01
293,zapolyarnyy,RU,1584056518,75,92,69.42,30.81,26.6,41.38
294,parangan,PH,1584056519,0,81,5.08,119.94,80.46,4.38
295,narsaq,GL,1584056519,0,57,60.92,-46.05,19.4,6.93
296,cidreira,BR,1584056519,27,82,-30.18,-50.21,76.6,16.75
297,atherton,GB,1584056519,90,81,53.52,-2.49,45.0,18.34
298,along,IN,1584056520,57,87,28.17,94.77,54.16,4.29
299,spornoye,RU,1584056520,90,53,50.84,37.29,50.0,11.18
300,aqtobe,KZ,1584056520,40,69,50.28,57.21,37.4,6.71
301,kochi,IN,1584056522,20,88,9.94,76.26,80.6,5.82
302,khandyga,RU,1584056522,31,94,62.67,135.6,-16.71,1.57
303,anchorage,US,1584056491,40,37,61.22,-149.9,21.99,5.82
304,isangel,VU,1584056522,83,70,-19.55,169.27,87.8,6.93
305,bose,IT,1584056522,75,81,45.46,8.01,55.99,3.36
306,kamaishi,JP,1584056523,0,46,39.27,141.88,35.6,3.36
307,mecca,SA,1584056343,85,50,21.43,39.83,79.34,4.41
308,iranduba,BR,1584056523,100,83,-3.28,-60.19,87.8,1.12
309,tias,ES,1584056524,20,82,28.96,-13.64,66.2,11.41
310,high level,US,1584056524,75,73,33.61,-95.75,77.0,10.29
311,bara,NG,1584056525,75,13,10.37,10.73,66.69,8.08
312,peachland,CA,1584056525,75,48,49.77,-119.74,42.8,13.87
313,bonthe,SL,1584056525,0,89,7.53,-12.51,80.02,6.38
314,san vicente,ML,1584056526,0,8,13.3,-4.9,79.92,9.53
315,moranbah,AU,1584056526,49,62,-22.0,148.05,74.28,23.53
316,taboga,IT,1584056526,100,93,46.27,13.11,51.8,3.36
317,shimoda,JP,1584056526,40,54,34.67,138.95,57.2,14.99
318,margate,GB,1584056527,40,70,51.38,1.39,45.0,20.8
319,dindori,IN,1584056527,3,81,22.95,81.08,64.24,1.83
320,moose factory,US,1584056527,20,31,43.66,-110.72,37.4,9.17
321,takaka,NZ,1584056387,1,67,-40.85,172.8,61.95,5.55
322,hovd,MN,1584056528,0,41,48.01,91.64,9.84,1.1
323,siyabuswa,ZA,1584056528,66,89,-25.11,29.04,67.15,6.93
324,kunming,CN,1584056306,0,47,25.04,102.72,59.0,22.37
325,katsuura,JP,1584056528,75,71,35.13,140.3,57.99,1.12
326,temuco,CL,1584056529,75,77,-38.73,-72.6,68.0,5.82
327,grand gaube,US,1584056485,1,27,38.88,-109.5,62.6,9.17
328,lagoa,PT,1584056529,0,70,39.05,-27.98,59.43,10.27
329,tougan,BF,1584056399,7,8,13.07,-3.07,81.07,8.21
330,viedma,AR,1584056244,0,36,-40.81,-63.0,76.62,7.14
331,mubarakpur,IN,1584056530,39,56,26.09,83.29,71.74,5.3
332,killybegs,IE,1584056530,30,93,54.63,-8.45,41.0,3.0
333,arrecife,ES,1584056407,20,82,28.96,-13.55,66.2,11.41
334,araouane,ML,1584056530,60,8,18.9,-3.53,74.73,10.07
335,catacamas,HN,1584056531,46,93,14.8,-85.9,66.07,3.38
336,cambridge,CA,1584056343,75,80,43.36,-80.31,41.0,11.41
337,talnakh,RU,1584056531,63,64,69.49,88.4,-4.0,17.9
338,tazovskiy,RU,1584056420,100,94,67.47,78.7,20.8,22.68
339,syamzha,RU,1584056532,94,95,60.02,41.06,34.03,7.87
340,nanakuli,US,1584056532,90,94,21.39,-158.15,75.2,5.82
341,ampanihy,MG,1584056532,0,67,-24.7,44.75,73.89,4.12
342,puerto el triunfo,ES,1584056482,75,100,36.59,-6.23,59.0,1.01
343,muros,ES,1584056533,20,87,42.78,-9.06,53.01,10.29
344,rio grande,GR,1584056533,0,93,38.3,21.78,48.2,5.68
345,aketi,CD,1584056533,100,96,2.74,23.78,70.45,2.8
346,kashi,CN,1584056533,40,38,39.45,75.98,42.8,4.47
347,wladyslawowo,PL,1584056533,40,64,54.79,18.4,42.01,23.04
348,kuytun,RU,1584056534,100,95,54.34,101.5,25.61,11.25
349,karur,IN,1584056534,18,85,10.95,78.08,71.74,4.97
350,alice springs,US,1584056534,1,54,27.75,-98.07,91.4,18.34
351,motygino,RU,1584056535,100,96,58.18,94.76,24.87,9.19
352,pangnirtung,CA,1584056535,57,92,66.15,-65.71,-17.86,3.65
353,garowe,SO,1584056535,100,85,8.41,48.48,68.18,10.02
354,tessalit,ML,1584056536,20,18,20.2,1.01,66.54,14.29
355,moerewa,NZ,1584056536,2,65,-35.38,174.03,73.0,8.01
356,sparbu,NO,1584056536,90,84,63.92,11.44,32.0,18.34
357,marsa matruh,MT,1584056536,0,93,35.88,14.5,55.99,10.29
358,lazaro cardenas,DO,1584056536,25,89,19.46,-71.33,70.59,2.1
359,liverpool,GB,1584056508,90,81,53.41,-2.98,45.0,18.34
360,sucua,EC,1584056537,20,83,-2.47,-78.17,69.8,4.7
361,siniscola,IT,1584056537,55,61,40.57,9.69,50.22,4.07
362,finschhafen,PG,1584056537,41,76,-6.6,147.87,84.67,32.3
363,kaohsiung,TW,1584056538,75,78,22.62,120.31,75.2,5.82
364,bathsheba,BB,1584056538,75,83,13.22,-59.52,75.2,9.17
365,huarmey,PE,1584056538,16,64,-10.07,-78.15,73.94,3.69
366,menongue,AO,1584056538,100,93,-14.66,17.69,63.14,1.43
367,leiyang,CN,1584056539,100,97,26.4,112.86,55.85,4.88
368,valparaiso,CL,1584056489,8,49,-33.04,-71.63,69.8,9.17
369,sapang buho,PH,1584056539,75,78,15.7,120.52,75.2,4.7
370,victoria,HK,1584056473,20,88,22.29,114.16,75.0,14.99
371,marawi,PH,1584056539,50,80,8.0,124.29,75.99,4.0
372,gambettola,IT,1584056540,76,87,44.12,12.34,57.99,1.12
373,aykhal,RU,1584056540,90,68,66.0,111.5,-18.4,15.66
374,villa vazquez,IT,1584056540,75,93,46.2,10.13,55.0,1.12
375,guozhen,CN,1584056540,99,42,34.37,107.36,43.9,5.59
376,zolotukhino,RU,1584056540,64,77,52.08,36.38,47.7,22.79
377,puteyets,RU,1584056541,100,98,65.17,57.09,34.3,12.93
378,zhangye,CN,1584056541,0,71,38.93,100.45,25.97,8.25
379,qobustan,AZ,1584056541,75,93,40.08,49.41,44.6,11.41
380,marzuq,YE,1584056541,36,61,14.4,46.47,57.29,3.87
381,nalut,LY,1584056541,0,60,30.33,10.85,50.32,7.87
382,lomovka,RU,1584056541,90,100,53.92,58.37,30.2,11.18
383,kiruna,SE,1584056542,100,85,67.86,20.23,21.2,11.41
384,mamallapuram,IN,1584056542,20,94,12.63,80.17,81.0,3.36
385,abapo,BO,1584056542,23,42,-18.83,-63.47,83.1,6.06
386,nizwa,OM,1584056542,59,37,22.93,57.53,58.5,1.16
387,challapata,BO,1584056543,50,55,-18.9,-66.77,55.15,9.19
388,sabang,ID,1584056543,59,71,5.89,95.32,82.65,9.51
